auriculaire,ADJ,2,12340
maire,NC,1,13671
directeur général,NC,2,13671
syndic,NC,3,13671
bourgmestre,NC,4,13671
maire,NC,1,13672
bourgmestre,NC,2,13672
alcool de riz,NC,1,11010
saké,NC,2,11010
bouton,NC,1,13670
bourgeon,NC,2,13670
élevage laitier,NC,1,24326
étable,NC,2,24326
élevage de bétail,NC,1,24325
élevage,NC,2,24325
élément,NC,1,24328
élément chimique,NC,2,24328
élevage sélectif,NC,1,24327
élevage sélectif des animaux,NC,2,24327
alcool,NC,1,11012
alcool éthylique,NC,2,11012
éthanol,NC,3,11012
augmentation,NC,1,12344
croissance,NC,2,12344
bourre,NC,1,13675
emballage,NC,2,13675
rembourrage,NC,3,13675
capitonnage,NC,4,13675
esprit,NC,1,11011
alcool fort,NC,2,11011
boisson spiritueuse,NC,3,11011
eau-de-vie,NC,4,11011
spiritueux,NC,5,11011
augmenter,VER,1,12345
étendre,VER,2,12345
bourre,NC,1,13676
emballage,NC,2,13676
conditionnement,NC,3,13676
ivrogne,NC,1,11014
boisson,NC,2,11014
alcoolique,NC,3,11014
dipsomanie,NC,4,11014
audition,NC,1,12342
ouïe,NC,2,12342
protecteur,NC,3,12342
alcool,NC,1,11013
boisson alcoolisée,NC,2,11013
salle,NC,1,12343
auditorium,NC,2,12343
coup,NC,1,13674
coup de vent,NC,2,13674
souffle,NC,3,13674
choc,NC,4,13674
bourrasque,NC,5,13674
rafale,NC,6,13674
alcootest,NC,1,11016
éthylotest,NC,2,11016
temps,NC,1,12348
jour,NC,2,12348
ficher,VER,1,13679
bourrer,VER,2,13679
fourrer,VER,3,13679
emmancher,VER,4,13679
ivresse,NC,1,11015
ébriété,NC,2,11015
alcoolisme,NC,3,11015
aulne noir,NC,1,12349
aulne poisseux,NC,2,12349
conseil municipal,NC,1,11018
conseiller municipal,NC,2,11018
échevin,NC,3,11018
alderman,NC,4,11018
signe,NC,1,12346
augure,NC,2,12346
présage,NC,3,12346
auspice,NC,4,12346
